b'Ping:',b'54.28',b'ms',b'Download:',b'21.86',b'Mbit/s',b'Upload:',b'27.33',b'Mbit/s',2021-03-21 12:51:01
b'Ping:',b'50.95',b'ms',b'Download:',b'24.63',b'Mbit/s',b'Upload:',b'27.59',b'Mbit/s',2021-03-21 12:51:25
b'Ping:',b'54.576',b'ms',b'Download:',b'19.29',b'Mbit/s',b'Upload:',b'21.07',b'Mbit/s',2021-03-21 12:51:50
b'Ping:',b'50.979',b'ms',b'Download:',b'23.24',b'Mbit/s',b'Upload:',b'25.81',b'Mbit/s',2021-03-21 12:52:15
b'Ping:',b'52.03',b'ms',b'Download:',b'25.17',b'Mbit/s',b'Upload:',b'31.90',b'Mbit/s',2021-03-21 12:52:40
b'Ping:',b'52.05',b'ms',b'Download:',b'27.24',b'Mbit/s',b'Upload:',b'34.12',b'Mbit/s',2021-03-21 12:53:05
b'Ping:',b'52.023',b'ms',b'Download:',b'32.27',b'Mbit/s',b'Upload:',b'33.54',b'Mbit/s',2021-03-21 12:53:29
b'Ping:',b'53.313',b'ms',b'Download:',b'25.93',b'Mbit/s',b'Upload:',b'27.39',b'Mbit/s',2021-03-21 12:53:53
b'Ping:',b'55.623',b'ms',b'Download:',b'30.21',b'Mbit/s',b'Upload:',b'19.72',b'Mbit/s',2021-03-21 12:54:18
b'Ping:',b'51.893',b'ms',b'Download:',b'32.98',b'Mbit/s',b'Upload:',b'32.70',b'Mbit/s',2021-03-21 12:54:46
b'Ping:',b'52.15',b'ms',b'Download:',b'16.80',b'Mbit/s',b'Upload:',b'4.93',b'Mbit/s',2021-03-21 12:55:11
b'Ping:',b'64.813',b'ms',b'Download:',b'16.38',b'Mbit/s',b'Upload:',b'16.40',b'Mbit/s',2021-03-21 12:55:36
b'Ping:',b'64.723',b'ms',b'Download:',b'19.38',b'Mbit/s',b'Upload:',b'19.86',b'Mbit/s',2021-03-21 12:56:03
